    название            паттерн          цена бафф              цена стим                          продажи                                  куплено             продано

Charm | Die-cast AK         444     17,6            925     + 12 часов
Charm | Pinch O' Salt       50      1,6             125     + за 12 часов
Charm | Glamour Shot        165     4,5             400     + за 2 дня
Charm | Glamour Shot        160     3,2             500маркет :///
Charm | Titeenium AWP       600     3,4             950     + за 3 дня
Charm | Titeenium AWP       600     1,5             1200    + за 2 дня
Charm | Disco MAC           90      6,5             170     + за день
Charm | Hot Wurst           1800    97,8            3100    + за 3 дня
Charm | Baby Karat T        3250    90,7            5250    + за 3 дня

Charm | Titeenium AWP       566     92              975     + за 2 дня
Charm | Titeenium AWP       525     79              945     + за день
Charm | Semi-Precious       2000    3,4             3650    + за 2 дня
Charm | Hot Sauce           42      5,9             95      + за 2 дня
Charm | Glamour Shot        285     0,6             700     + за полдня
---------------------------------------------------------------------------------      16 900 --> 27 350 (+61%)     27 350 - (16900*1.3) = 5 350 чистая прибыль сверху
Charm | Lil' Whiskers       170     45              250     + за полдня
Charm | Lil' Whiskers       170     2,6             350     + за 4 дня
Charm | Disco MAC           110     27              180     + за полдня
Charm | Hot Sauce           50      4,9             95      + за 2 дня
Charm | Hot Sauce           50      8               90      + за 7 дней
Charm | Disco MAC           95      4,1             190     + за 6 дней
Charm | Lil' Whiskers       160     32              245     + за 4 дня
Charm | Lil' Whiskers       170     52              245     + за 5 дней
REDLINE                     3700    0.20            5600 ТРАЙНУТЬ
Charm | Lil' Whiskers       170     52              245     + за 3 дня
Charm | Lil' Whiskers       170     44              245     + за 2 дня
Charm | Lil' Whiskers       170     21              255
Charm | Lil' Whiskers       170     47              245     + за 3 дня
Charm | Lil' Whiskers       170     45              245     + за 3 дня
Charm | Lil' Whiskers       170     3               300     + за 4 дня
Charm | Lil' Whiskers       170     1,8             300     + за день
Charm | Lil' Whiskers       170     30              245     + за день
Charm | Lil' Whiskers       170     24              255
Charm | Lil' Whiskers       170     20              255
Charm | Disco MAC           95      14              165     + за день
Charm | Disco MAC           95      10              165     + за 1/4 дня
Charm | Disco MAC           95      1,1             250     + за 3 дня
Charm | Disco MAC           95      8               180     + за 1/4 дня
Charm | Baby Karat T        3500    97              6300    + за 2 дня
Charm | Lil' Monster        660     1,4             1100    + за 4 дня
Charm | Titeenium AWP       700     96,5            1050    + за полдня
Charm | Hot Wurst           1770    96              3100    + за 3 дня
Charm | Hot Sauce           49      6,7             88
Charm | Die-cast AK         550     13,9            1100    + за день

Charm | Baby Karat CT       1600    91              2750    + за 12 часов, дороже никак
Charm | Disco MAC           95      10              165     + за полдня
Charm | Disco MAC           95      1,5             225     + за 2 дня
Charm | Disco MAC           95      7,5             180     +
Charm | Die-cast AK         550     11,5            1350    + за пару часов
Charm | Lil' Whiskers       170     22              255

Charm | Disco MAC           95      7,5             170     + за 2 дня
